dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
vietnamOperations,vietnamoperations,aircraft_root_info,valid_aircraft_root,2,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,weapon_type,2,varchar,30,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,mil_service,3,varchar,6,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,aircraft_root,4,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,source_id,5,int,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,id,6,int,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,msn_date,7,date,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,source_record,8,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,takeoff_location,9,varchar,20,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,tgtlatdd_ddd_wgs84,10,decimal,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,tgtlonddd_ddd_wgs84,11,decimal,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,tgt_type,12,varchar,20,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,num_weapons_delivered,13,smallint,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,time_on_target,14,decimal,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,weapon_type_class,15,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,aircraft_original,16,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,call_sign,17,varchar,20,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,flt_hours,18,int,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,mfunc,19,varchar,50,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,mfunc_desc,20,varchar,20,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,mission_id,21,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,num_of_acft,22,smallint,NULL,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,operation_supported,23,varchar,10,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,base_bombing_info,period_of_day,24,char,1,NULL,NULL,NULL,NULL
vietnamOperations,vietnamoperations,id_info,thor_data_viet_id,1,int,NULL,PRIMARY KEY,NULL,NULL,NULL
vietnamOperations,vietnamoperations,id_info,id,2,int,NULL,PRIMARY KEY,NULL,NULL,NULL
vietnamOperations,vietnamoperations,military_service_country,mil_service,1,varchar,6,PRIMARY KEY,NULL,NULL,NULL
vietnamOperations,vietnamoperations,military_service_country_info,thor_data_viet_id,1,int,NULL,PRIMARY KEY,NULL,NULL,NULL
vietnamOperations,vietnamoperations,military_service_country_info,mil_service,2,varchar,6,PRIMARY KEY,NULL,NULL,NULL
vietnamOperations,vietnamoperations,source_info,thor_data_viet_id,1,int,NULL,PRIMARY KEY,NULL,NULL,NULL
vietnamOperations,vietnamoperations,source_info,source_id,2,int,NULL,PRIMARY KEY,NULL,NULL,NULL
vietnamOperations,vietnamoperations,weapon_info,thor_data_viet_id,1,int,NULL,PRIMARY KEY,NULL,NULL,NULL
vietnamOperations,vietnamoperations,weapon_info,weapon_type,2,varchar,30,PRIMARY KEY,NULL,NULL,NULL
vietnamOperations,voterdata,district_information,voter_reg_num,1,varchar,30,PRIMARY KEY,NULL,NULL,NULL
vietnamOperations,voterdata,district_information,pct_portion,2,varchar,10,PRIMARY KEY,NULL,NULL,NULL
vietnamOperations,voterdata,district_information,voter_reg_num,1,varchar,30,FOREIGN KEY,voterdata,registration_information,voter_reg_num
vietnamOperations,vietnamoperations,base_bombing_info,unit,25,varchar,10,NULL,NULL,NULL,NULL
